Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
2353023;35;84,616;85,009;20,672;19,43;84,072;84,523;84,174;19,501;19,081;18,91;-0,06;-0,048;-0,085
2353025;37;87,276;87,808;24,02;21,538;86,095;85,348;86,017;21,334;19,221;19,647;-0,115;-0,226;-0,155
2353027;37;77,846;78,218;18,767;17,32;76,982;77,335;77,259;16,819;16,662;16,63;-0,108;-0,096;-0,105
2353028;39;77,682;78,161;20,096;17,869;76,551;75,921;76,576;17,473;15,737;16,161;-0,134;-0,247;-0,163
2353029;34;78,557;79,141;25,164;22,624;77,066;77,145;77,439;21,683;20,914;21,066;-0,142;-0,166;-0,137
2353031;36;82,725;82,978;19,432;18,781;82,948;82,946;82,271;19,873;18,758;18,335;0,025;-0,003;-0,073
2353032;33;72,43;72,51;15,147;15,392;73,267;73,357;72,338;16,663;15,886;15,339;0,115;0,1;-0,023
2353033;38;76,933;77,163;19,542;17,595;74,81;76,121;76,111;13,75;16,995;16,998;-0,29;-0,111;-0,112
2353034;36;77,917;78,477;19,895;16,714;75,905;75,872;76,603;14,558;13,985;14,338;-0,264;-0,309;-0,196
2353038;37;74,742;75,085;20,333;19,28;74,843;74,651;74,175;20,535;18,928;18,602;0,011;-0,042;-0,091
2353041;41;76,381;76,558;22,14;21,672;75,688;76,311;75,926;20,632;21,542;21,426;-0,072;-0,021;-0,057
2353044;38;76,476;76,701;17,845;17,011;76,503;76,098;75,861;17,9;16,537;16,397;0,003;-0,066;-0,094
2353047;38;86,835;87,17;19,694;18,591;86,287;86,583;86,32;18,513;18,173;18,045;-0,063;-0,059;-0,088
2353048;27;90,4;90,607;19,756;19,818;92,008;92,897;90,235;22,525;21,437;19,669;0,165;0,209;-0,038
2354000;42;84,537;84,584;22,334;22,97;85,146;85,505;84,537;23,499;23,391;22,961;0,058;0,074;-0,004
2354001;29;82,116;82,314;25,78;26,239;83,125;83,531;81,999;27,665;26,854;26,176;0,082;0,084;-0,025
2354002;32;77,058;77,258;18,925;18,908;77,334;78,012;76,965;19,467;19,334;18,823;0,031;0,074;-0,032
2354004;24;81,81;82,067;19,856;19,796;82,197;82,578;81,593;20,61;20,069;19,668;0,042;0,047;-0,048
2355000;33;85,832;86,316;23,212;21,522;85,189;85,288;85,141;21,827;20,727;20,658;-0,063;-0,09;-0,104
2355001;26;84,958;85,127;18,856;18,792;84,224;85,024;84,628;17,228;18,755;18,731;-0,09;-0,01;-0,052
2355002;28;86,282;86,532;16,972;16,695;86,061;86,799;86,145;16,512;16,835;16,591;-0,029;0,03;-0,047
2355003;30;87,406;87,743;21,258;20,742;87,746;88,039;87,156;21,925;20,931;20,48;0,034;0,026;-0,056
2446001;38;121,334;121,495;54,505;54,351;121,146;121,242;120,036;54,122;54,23;53,807;-0,008;-0,008;-0,052
2446019;29;139,986;140,511;43,575;43,054;141,96;142,53;139,358;47,218;44,463;42,494;0,095;0,085;-0,053
2447002;46;92,277;92,967;28,599;24,371;89,598;88,517;89,913;21,668;19,439;20,253;-0,24;-0,376;-0,222
2447005;51;87,517;87,845;22,737;21,382;87,076;86,824;86,691;21,805;20,574;20,498;-0,044;-0,089;-0,102
2447007;42;76,962;77,045;14,874;15,024;77,716;77,782;76,922;16,251;15,474;14,977;0,105;0,09;-0,016
2447009;69;78,838;79,016;22,858;22,441;78,196;78,964;78,623;21,473;22,414;22,289;-0,064;-0,004;-0,034
2447010;51;83,074;83,711;33,576;30,171;81,066;81,044;81,391;28,878;27,818;27,968;-0,143;-0,174;-0,147
2447012;52;98,272;98,482;25,779;25,575;98,317;98,807;98,108;25,87;25,758;25,427;0,004;0,024;-0,029
2447013;48;74,179;74,886;32,386;27,916;71,241;71,301;71,989;24,859;24,448;24,715;-0,231;-0,245;-0,184
2447016;57;117,691;118,701;53,916;47,754;113,48;114,112;114,67;43,543;43,744;43,923;-0,194;-0,186;-0,158
2447018;46;81,052;81,169;26,443;27,436;80,956;82,157;81,319;26,246;27,707;27,432;-0,008;0,068;0,011
2447024;37;148,406;149,251;56,645;54,043;148,651;147,904;146,795;57,138;53,005;52,33;0,009;-0,046;-0,087
2447026;61;75,508;76,101;29,786;26,497;73,236;73,774;73,959;24,218;24,486;24,529;-0,188;-0,165;-0,148
2447028;34;97,002;97,828;39,297;34,986;93,915;94,972;95,269;31,683;32,686;32,776;-0,195;-0,155;-0,136
2447030;69;79,936;80,682;37,201;30,855;75,767;75,099;76,285;25,678;24,212;24,546;-0,303;-0,385;-0,263
2447034;46;71,644;71,97;35,812;33,608;68,128;70,624;70,476;26,578;33,015;33,052;-0,255;-0,073;-0,083
2447036;54;85,169;85,835;37,224;33,39;82,273;83,075;83,234;30,096;31,139;31,17;-0,193;-0,149;-0,138
2447037;60;101,061;101,883;46,208;42,177;98,976;98,466;98,817;41,513;39,263;39,451;-0,105;-0,155;-0,137
2447040;48;127,025;127,771;51,183;47,963;124,955;125,853;125,498;46,578;46,606;46,472;-0,094;-0,076;-0,092
2447042;52;72,798;73,364;37,555;32,072;68,433;70,176;70,341;25,285;29,239;29,167;-0,318;-0,173;-0,158
2447043;76;74,436;74,793;23,88;21,554;72,843;72,968;73,116;20,082;20,03;20,084;-0,162;-0,163;-0,147
2447044;58;73,742;73,818;24,054;24,412;74,601;74,841;73,826;25,67;24,994;24,415;0,075;0,077;0,001
2447045;74;85,214;85,519;36,817;35,937;85,584;85,358;84,62;37,551;35,822;35,385;0,022;-0,008;-0,048
2447046;64;78,688;79,213;29,878;27;77,011;76,614;76,919;25,994;24,678;24,821;-0,133;-0,178;-0,153
2447058;32;119,066;120,294;50,842;44,697;115,355;115,504;116,523;41,839;40,205;40,659;-0,179;-0,212;-0,156
2447074;27;86,976;87,489;41,575;38,161;83,304;85,308;85,241;32,239;36,74;36,733;-0,224;-0,107;-0,111
2448008;36;69,677;69,661;13,962;14,766;71,055;71,461;69,861;16,259;15,681;14,783;0,198;0,223;0,028
2448009;29;69,745;69,976;12,647;12,157;69,878;70,06;69,555;12,911;12,216;11,931;0,023;0,013;-0,069
2448013;49;60,885;61,123;17,839;17,187;60,846;60,992;60,579;17,76;17,095;16,868;-0,005;-0,014;-0,062
2448015;41;72,693;72,912;17,823;17,244;72,784;72,655;72,285;18,006;17,067;16,876;0,011;-0,027;-0,07
2448017;70;66,098;66,282;25,747;23,31;63,626;64,464;64,491;19,3;21,954;21,947;-0,248;-0,13;-0,128
2448018;51;67,244;67,521;15,009;13,285;66,149;66,121;66,351;12,351;12;12,089;-0,179;-0,208;-0,165
2448024;50;73,143;73,222;19,35;19,752;73,681;73,932;73,216;20,378;20,098;19,75;0,059;0,066;-0,001
2448026;38;67,492;67,472;12,876;13,729;68,442;68,963;67,718;14,536;14,37;13,723;0,151;0,202;0,038
2448035;39;54,557;54,775;12,188;11,184;53,849;54,111;54,104;10,541;10,687;10,684;-0,138;-0,112;-0,114
2448036;26;57,419;57,494;13,741;14,216;57,9;58,491;57,393;14,647;14,668;14,211;0,074;0,13;-0,015
2448037;40;67,04;66,929;17,55;18,939;69,087;70,259;67,454;20,854;20,667;18,942;0,231;0,322;0,059
2448046;34;79,104;79,105;16,233;16,984;80,126;79,938;79,086;18,056;17,342;16,982;0,13;0,089;-0,002
2448057;42;70,266;70,56;13,155;11,82;69,514;69,509;69,663;11,408;10,907;10,985;-0,136;-0,17;-0,141
2448067;17;76,67;77,106;15,879;15,146;77,343;77,915;76,507;17,129;15,759;14,834;0,089;0,098;-0,08
2449000;77;48,889;48,475;21,745;24,399;51,267;51,213;49,927;25,636;25,261;24,44;0,217;0,206;0,119
2449001;50;74,576;74,694;21,646;21,546;74,826;74,634;74,196;22,141;21,512;21,32;0,025;-0,005;-0,044
2449006;60;59,742;59,766;13,926;13,447;58,772;59,296;59,213;11,594;13,195;13,183;-0,17;-0,064;-0,077
2449007;70;54,035;53,796;21,864;23,561;56,297;56,423;54,853;25,603;24,821;23,79;0,206;0,202;0,089
2449008;68;61,068;61,218;17,877;17,43;61,214;61,1;60,749;18,168;17,347;17,145;0,018;-0,013;-0,052
2449011;41;75,402;75,526;16,003;15,83;75,829;75,652;75,114;16,822;15,913;15,617;0,057;0,014;-0,05
2449016;32;62,399;62,603;15,134;14,591;61,498;62,4;62,153;13,027;14,501;14,47;-0,142;-0,026;-0,061
2449019;61;66,154;66,29;19,327;19,091;66,071;66,329;65,941;19,158;19,113;18,935;-0,009;0,004;-0,035
2449020;34;67,415;67,176;12,805;14,459;68,326;68,082;67,418;14,405;14,581;14,39;0,146;0,115;0,035
2449021;40;72,921;73,193;17,553;16,234;71,862;72,392;72,325;15,073;15,668;15,648;-0,144;-0,094;-0,103
2449023;39;67,126;67,211;18,092;18,532;67,889;68,148;67,166;19,508;19;18,522;0,088;0,093;-0,005
2449024;39;66,604;66,152;17,194;19,886;68,791;68,416;66,902;20,657;20,358;19,689;0,25;0,209;0,08
2449026;38;66,006;66,168;27,249;27,53;65,616;66,479;65,782;26,433;27,65;27,468;-0,032;0,021;-0,028
2449028;38;69,602;69,965;15,374;13,62;68,614;68,387;68,778;13,034;12,144;12,368;-0,155;-0,226;-0,16
2449030;35;67,005;67,339;19,632;18,005;65,889;66,184;66,198;17,042;17,141;17,146;-0,135;-0,119;-0,117
2449032;39;58,697;59,087;15,486;13,296;57,181;57,624;57,853;11,507;11,902;11,948;-0,254;-0,214;-0,169
2449036;38;67,81;67,846;15,721;15,946;68,139;67,885;67,53;16,359;15,964;15,854;0,045;0,004;-0,038
2449040;37;75,931;76,623;24,323;19,342;72,742;72,68;73,748;14,726;14,104;14,458;-0,379;-0,447;-0,256
2449044;38;70,723;71,381;28,947;25,082;68,255;68,362;69,023;22,734;22,166;22,423;-0,215;-0,241;-0,174
2449045;32;71,129;71,501;23,922;22,889;70,322;71,137;70,71;22,155;22,686;22,569;-0,077;-0,03;-0,068
2449057;36;66,967;67,079;19,437;19,549;68,146;67,792;66,75;21,551;20,001;19,409;0,125;0,066;-0,033
2449063;38;82,607;81,772;20,212;25,62;84,994;86,26;83,351;24,054;25,437;24,238;0,233;0,34;0,143
2450002;78;72,101;72,116;16,203;16,607;72,267;72,461;72,159;16,531;16,751;16,619;0,022;0,038;0,005
2450003;31;66,723;67,015;18,134;17,377;66,422;66,93;66,417;17,501;17,322;17,086;-0,037;-0,009;-0,069
2450006;60;75,033;75,386;21,439;19,482;73,501;74,167;74,182;17,735;18,57;18,574;-0,175;-0,121;-0,119
2450008;33;69,141;69,227;15,018;15,163;69,34;69,389;68,926;15,41;15,243;15,078;0,029;0,019;-0,039
2450011;38;75,106;75,54;18,514;16,706;74,192;74,159;74,348;16,435;15,508;15,61;-0,116;-0,16;-0,134
2450013;39;76,516;76,622;18,82;19,211;77,205;77,737;76,577;20,114;19,799;19,201;0,077;0,107;-0,005
2450021;38;76,729;77,333;24,314;19,929;73,477;75,155;75,346;14,389;17,796;17,699;-0,392;-0,203;-0,173
2450024;39;76,842;77,225;20,219;18,915;76,303;76,514;76,299;19,06;18,386;18,276;-0,06;-0,071;-0,094
2450025;36;73,774;74,181;27,547;24,602;71,053;72,263;72,341;20,386;23,192;23,185;-0,257;-0,137;-0,13
2450026;39;77,791;77,82;17,678;18,284;78,318;78,751;77,82;18,682;18,709;18,284;0,063;0,094;0
2450031;34;69,782;69,919;14,442;14,35;70,405;70,599;69,616;15,597;14,813;14,208;0,09;0,087;-0,042
2450034;37;76,503;76,927;21,613;19,727;74,917;75,943;75,872;17,759;19,09;19,081;-0,18;-0,094;-0,103
2450036;32;82,533;83,483;35,999;29,082;77,959;78,843;79,938;22,505;23,923;24,212;-0,362;-0,31;-0,205
2450040;38;60,737;61,204;20,825;18,081;58,998;56,431;59,099;16,47;13,124;15,349;-0,209;-0,57;-0,205
2450048;35;66,817;66,91;20,755;21,353;67,11;67,636;66,802;21,331;21,63;21,345;0,03;0,063;-0,01
2450049;39;81,858;82,145;20,889;20,21;82,29;82,184;81,445;21,727;20,239;19,774;0,044;0,004;-0,067
2450050;34;77,712;77,803;18,945;19,278;78,358;78,45;77,598;20,166;19,6;19,235;0,072;0,062;-0,022
2450052;37;77,344;77,659;22,737;21,071;76,021;76,495;76,44;19,657;20,257;20,241;-0,139;-0,103;-0,108
2450054;33;72,46;72,28;20,638;22,604;75,678;78,446;72,864;25,481;26,192;22,544;0,301;0,499;0,056
2450056;31;69,342;69,588;14,905;14,329;69,713;69,675;69,033;15,618;14,396;13,976;0,053;0,011;-0,076
2450062;26;75,006;75,862;26,57;22,412;72,48;72,691;73,61;20,007;19,197;19,644;-0,245;-0,277;-0,175
2451002;47;82,236;82,552;19,389;17,926;81,018;81,582;81,537;16,516;17,274;17,267;-0,151;-0,098;-0,103
2451003;56;78,418;78,347;15,425;16,148;79,781;79,479;78,602;17,743;16,758;16,224;0,178;0,127;0,031
2451006;40;82,045;82,137;12,704;12,427;81,502;81,958;81,766;11,491;12,342;12,302;-0,099;-0,026;-0,058
2451010;48;87,935;88,135;19,84;19,272;88,422;88,18;87,504;20,777;19,306;18,859;0,052;0,004;-0,064
2451012;37;78,084;77,928;18,55;20,367;80,611;81,711;78,572;22,488;22,08;20,293;0,266;0,341;0,068
2451013;50;79,268;79,451;18,766;18,34;78,843;79,393;79,029;17,858;18,308;18,171;-0,051;-0,006;-0,045
2451014;62;86,42;86,678;22,171;21,116;86,139;86,105;85,814;21,584;20,689;20,523;-0,028;-0,051;-0,079
2451015;48;83,246;82,889;25,662;28,55;83,86;84,685;83,585;26,845;28,747;28,366;0,051;0,119;0,051
2451017;49;77,5;77,689;21,009;20,258;76,388;77,261;77,047;18,457;20,054;20,024;-0,125;-0,039;-0,061
2451020;42;81,666;81,67;18,98;19,523;83,627;85,111;81,764;22,222;22,025;19,558;0,206;0,317;0,01
2451021;39;85,74;86,192;21,547;19,754;84,959;84,806;84,892;19,826;18,593;18,64;-0,083;-0,132;-0,123
2451022;40;87,535;87,477;19,867;20,833;89,638;89,817;87,706;23,329;22,172;20,892;0,211;0,203;0,022
2451023;37;76,897;77,213;18,846;17,868;76,53;76,856;76,505;18,069;17,616;17,448;-0,044;-0,038;-0,078
2451026;39;85,576;85,543;21,199;22,612;86,861;87,645;85,935;23,502;23,437;22,604;0,125;0,172;0,036
2451027;38;82,389;82,952;27,031;24,162;80,876;80,369;80,872;23,526;21,808;22,072;-0,133;-0,2;-0,153
2451028;39;80,777;80,727;15,374;16,311;82,308;82,602;80,991;17,923;17,25;16,342;0,199;0,209;0,033
2451029;36;78,792;79,064;19,523;16,753;77,074;75,822;76,899;15,16;12,844;13,414;-0,223;-0,426;-0,233
2451032;34;87,983;88,495;28,023;26,623;87,75;87,999;87,416;27,541;26,272;25,976;-0,018;-0,035;-0,079
2451034;37;78,398;78,363;15,577;16,683;79,535;79,846;78,634;17,567;17,234;16,671;0,149;0,164;0,034
2451035;39;80,132;80,24;19,695;20,145;80,824;81,268;80,195;20,999;20,653;20,136;0,074;0,094;-0,005
2451036;37;85,475;85,725;16,398;15,801;85,586;85,773;85,204;16,619;15,836;15,504;0,015;0,006;-0,065
2451038;39;80,843;81,146;17,508;16,517;80,477;80,687;80,415;16,731;16,179;16,035;-0,047;-0,052;-0,086
2451039;37;84,925;85,421;20,029;17,522;83,313;83,646;83,941;16,028;15,92;16,024;-0,201;-0,197;-0,156
2451043;38;81,705;81,601;16,016;17,226;83,34;83,899;81,96;18,726;18,324;17,24;0,204;0,244;0,044
2451044;36;83,692;83,703;19,312;20,377;84,68;85,407;83,908;21,115;21,081;20,378;0,106;0,155;0,021
2451045;37;87,064;86,944;18,998;20,647;88,663;88,897;87,368;21,738;21,315;20,612;0,17;0,174;0,043
2451046;37;85,835;86,135;22,948;22,082;85,108;85,769;85,379;21,365;21,876;21,752;-0,072;-0,031;-0,067
2451047;37;82,169;82,902;28,602;24,457;79,314;80,083;80,594;21,062;21,767;21,899;-0,26;-0,225;-0,172
2451049;37;74,326;74,456;17,229;17,109;75,353;75,721;74,074;19,072;18,074;16,893;0,123;0,134;-0,044
2451051;35;81,497;81,857;21,63;20,462;81,391;81,112;80,806;21,413;19,87;19,678;-0,011;-0,067;-0,097
2452000;44;90,186;90,871;28,555;22,976;86,259;87,911;88,194;16,309;19,622;19,502;-0,41;-0,235;-0,194
2452001;42;81,883;81,98;20,984;20,846;82,687;82,053;81,418;22,488;20,895;20,55;0,081;0,006;-0,052
2452007;40;82,147;82,143;17,317;18,233;82,939;83,083;82,272;18,777;18,578;18,239;0,096;0,095;0,015
2452008;41;84,632;85,146;19,978;17,337;83,022;82,899;83,455;15,981;15,16;15,448;-0,201;-0,254;-0,176
2452009;49;81,605;81,741;17,571;17,383;81,995;81,973;81,399;18,326;17,532;17,214;0,048;0,024;-0,038
2452010;43;83,856;84,159;16,805;15,117;82,421;83,15;83,164;13,192;14,412;14,411;-0,215;-0,122;-0,12
2452011;48;83,92;83,913;18,664;19,887;84,474;85,228;84,303;19,719;20,254;19,85;0,063;0,125;0,041
2452014;47;87,366;87,556;23,491;23,05;87,775;87,492;86,879;24,291;23,01;22,666;0,037;-0,005;-0,056
2452015;49;87,514;87,201;13,518;15,413;89,912;90,284;88,137;16,993;16,571;15,297;0,338;0,366;0,129
2452016;48;90,665;90,786;19,508;19,24;91,278;90,897;90,266;20,672;19,319;18,933;0,067;0,01;-0,052
2452018;30;80,71;81,324;22,181;19,609;79,269;79,429;79,812;18,763;17,909;18,105;-0,157;-0,188;-0,144
2452019;32;94,119;94,63;22,641;20,735;93,494;93,113;93,281;21,295;19,421;19,531;-0,063;-0,141;-0,123
2452029;37;83,708;83,907;18,646;18,293;84,386;84,579;83,428;19,921;18,79;18,027;0,077;0,068;-0,052
2452033;37;89,096;89,597;23,11;21,125;88,226;88,027;88,186;21,188;19,792;19,888;-0,087;-0,142;-0,126
2452035;38;82,722;82,955;17,828;17,352;83,029;83,107;82,442;18,427;17,458;17,073;0,037;0,016;-0,058
2452040;39;82,568;82,782;17,233;16,836;82,68;83,039;82,374;17,458;17,004;16,644;0,014;0,029;-0,048
2452041;37;84,894;84,753;16,095;17,464;84,686;85,376;84,852;15,661;17,533;17,441;-0,029;0,066;0,012
2452042;37;89,202;89,456;18,182;17,676;89,315;89,415;88,916;18,408;17,65;17,405;0,014;-0,004;-0,059
2452044;35;85,947;85,895;16,035;17,024;87,239;87,398;86,054;18,263;17,69;17,031;0,164;0,162;0,02
2452045;35;95,461;95,746;19,229;18,43;95,06;95,489;95,066;18,376;18,26;18,064;-0,047;-0,026;-0,072
2452046;37;96,354;96,808;23,552;21,896;95,49;95,861;95,676;21,648;21,187;21,097;-0,084;-0,082;-0,1
2452047;32;88,17;88,434;15,904;14,809;87,092;87,885;87,761;13,325;14,506;14,497;-0,165;-0,069;-0,088
2452050;37;89,769;89,836;16,465;16,889;90,563;90,983;89,809;17,922;17,507;16,883;0,101;0,125;-0,003
2452051;31;87,771;88,164;23,488;22,309;87,415;87,491;87,112;22,741;21,826;21,632;-0,034;-0,055;-0,089
2452055;15;94,631;94,905;24,755;24,148;97,026;110,592;93,66;28,764;40,949;23,142;0,194;1,047;-0,1
2453000;34;83,051;83,457;21,236;18,877;80,879;82,247;82,275;15,447;18,034;18,032;-0,268;-0,125;-0,121
2453001;43;80,048;80,258;21,81;21,747;80,447;80,994;80,019;22,588;22,17;21,664;0,039;0,063;-0,022
2453003;41;93,425;93,701;22,85;22,221;93,998;94,154;93,065;23,951;22,558;21,849;0,054;0,038;-0,057
2453008;48;85,584;85,948;20,604;19,092;84,795;84,902;84,853;18,856;18,285;18,261;-0,089;-0,103;-0,108
2453009;43;78,755;79,42;27,709;23,276;75,802;75,385;76,602;19,718;18,949;19,6;-0,283;-0,348;-0,212
2453010;44;83,632;84,033;20,545;18,673;82,666;82,472;82,68;18,36;17,316;17,43;-0,11;-0,161;-0,136
2453012;45;85,537;85,603;22,423;23,079;86,604;87,093;85,715;24,383;23,864;23,109;0,099;0,119;0,01
2453013;45;85,72;86,178;23,188;20,905;84,026;84,666;84,723;19,077;19,736;19,746;-0,179;-0,132;-0,126
2453014;37;91,304;91,479;20,449;20,517;92,045;92,362;91,217;21,841;21,038;20,423;0,076;0,078;-0,026
2453016;42;83,389;83,834;23,382;20,766;81,343;82,1;82,193;18,192;19,373;19,375;-0,221;-0,147;-0,136
2453017;41;76,094;75,725;27,383;30,423;77,959;78,185;76,494;30,676;30,996;30,291;0,14;0,149;0,053
2453023;30;87,298;87,38;18,84;19,632;88,977;89,745;87,426;21,69;20,903;19,636;0,18;0,22;0,005
2453026;38;96,14;96,622;25,202;23,242;94,98;95,47;95,359;22,584;22,386;22,34;-0,108;-0,095;-0,105
2453027;37;90,353;90,563;23,478;23,672;91,301;91,952;90,398;25,245;24,471;23,627;0,085;0,109;-0,014
2453028;37;86,292;86,751;21,992;19,97;84,82;85,587;85,567;18,478;19,138;19,133;-0,162;-0,11;-0,112
2453030;35;84,729;84,568;23,085;25,793;85,921;87,077;85,251;25,257;26,162;25,495;0,107;0,185;0,059
2453037;37;90,936;90,848;17,538;18,881;91,895;92,009;91,071;19,275;19,223;18,865;0,113;0,113;0,025
2453043;34;84,54;84,576;20,242;20,591;86,54;87,551;84,348;23,577;22,808;20,492;0,198;0,26;-0,023
2453047;35;86,381;86,724;21,634;20,575;86,11;86,207;85,844;21,069;20,214;20,042;-0,028;-0,047;-0,082
2453048;33;86,775;86,646;15,813;17,527;88,343;88,964;87,094;18,425;18,253;17,401;0,198;0,247;0,056
2453050;38;86,588;86,958;23,514;22,479;86,426;86,495;86,054;23,181;22,156;21,933;-0,015;-0,038;-0,077
2453052;37;82,253;82,804;22,664;19,548;80,366;80,053;80,838;17,94;16,78;17,186;-0,209;-0,286;-0,185
2453056;38;97,881;97,887;21,748;22,752;100,147;101,307;98,166;25,489;24,797;22,804;0,208;0,273;0,025
2453059;34;90,295;90,194;20,487;20,756;91,628;90,074;89,495;22,856;20,676;20,374;0,134;-0,01;-0,063
2454000;63;90,886;91,105;22,964;22,019;90,038;90,408;90,237;21,093;21,592;21,54;-0,085;-0,058;-0,074
2454001;57;78,509;78,329;22,378;23,855;79,04;79,511;78,688;23,4;24,258;23,891;0,051;0,091;0,03
2454003;51;80,282;80,455;17,499;16,768;79,585;79,875;79,746;15,952;16,416;16,385;-0,092;-0,062;-0,078
2454004;35;95,239;95,769;25,602;23,644;93,965;94,772;94,581;22,7;22,925;22,85;-0,117;-0,081;-0,098
2454006;47;86,335;86,784;24,703;22,091;84,205;85,148;85,231;19,325;20,845;20,857;-0,217;-0,14;-0,131
2454011;40;96,661;96,701;27,713;28,498;98,502;98,757;96,695;30,974;29,687;28,496;0,136;0,132;0
2454012;39;91,148;91,118;19,214;20,26;91,903;92,529;91,31;20,625;20,839;20,268;0,083;0,129;0,02
2454015;37;88,511;88,534;17,39;18,055;89,989;90,222;88,609;19,919;18,988;18,072;0,172;0,17;0,008
2454016;39;85,414;85,761;22,453;21,219;84,755;85,115;84,815;21,024;20,757;20,615;-0,067;-0,057;-0,086
2454018;40;85,252;85,197;22,29;23,141;87,493;87,5;85,271;26,015;24,567;23,167;0,201;0,179;0,006
2454028;17;75,957;76,136;18,612;19,729;78,066;78,826;75,99;22,037;20,807;19,764;0,225;0,25;-0,017
2548000;78;80,512;80,95;26,107;22,842;77,943;78,859;78,964;19,357;21,078;21,07;-0,256;-0,167;-0,155
2548001;69;63,934;64,097;18,068;17,427;63,658;63,643;63,469;17,489;17,13;17,056;-0,034;-0,048;-0,068
2548003;70;93,74;93,726;22,89;23,68;95,193;95,595;94,233;25,479;24,745;23,854;0,131;0,145;0,043
2548010;66;103,465;103,625;36,267;35,933;104,291;103,707;102,881;37,863;35,988;35,512;0,049;0,004;-0,04
2548020;36;101,529;102,491;41,355;36,907;99,283;98,556;99,5;36,178;33,278;33,831;-0,129;-0,21;-0,152
2548023;27;110,518;110,641;33,951;33,887;111,443;110,431;109,514;35,722;33,767;33,432;0,058;-0,011;-0,064
2548027;48;82,983;83,496;25,98;23,294;81,391;81,29;81,646;22,242;21,348;21,524;-0,147;-0,185;-0,15
2548036;29;74,218;74,892;29,618;25,787;71,565;72,266;72,768;22,848;23,386;23,541;-0,228;-0,203;-0,155
2548037;21;90,854;91,923;31,445;26,993;87,989;89,205;89,779;24,093;24,561;24,777;-0,232;-0,196;-0,145
2548038;46;79,2;79,791;26,394;22,36;76,425;77,007;77,422;18,922;19,62;19,692;-0,278;-0,233;-0,184
2548039;36;105,468;105,138;25,7;28,203;109,172;108,639;105,831;31,391;29,647;28,201;0,28;0,225;0,052
2548040;36;66,935;67,203;19,233;18,5;66,4;67,026;66,616;18,079;18,396;18,245;-0,063;-0,018;-0,063
2548041;82;77,14;77,598;24,705;21,683;75,189;74,988;75,381;19,887;19,188;19,339;-0,196;-0,238;-0,192
2548042;36;119,562;120,087;33,988;32,603;118,485;119,572;118,977;31,642;32,301;32,103;-0,072;-0,029;-0,067
2548043;33;110,566;111,708;42,001;37,185;108,109;107,411;108,598;36,274;33,174;33,917;-0,14;-0,226;-0,154
2548044;33;81,719;82,1;31,729;30,283;81,608;80,942;80,563;31,502;29,427;29,231;-0,008;-0,07;-0,095
2548047;32;95,234;95,457;20,167;19,83;94,992;95,381;94,913;19,664;19,792;19,655;-0,027;-0,007;-0,054
2548049;35;101,405;102,173;35,699;32,763;99,752;100,403;100,302;31,966;31,41;31,366;-0,108;-0,102;-0,109
2548052;41;88,708;89,363;27,836;24,395;86,531;86,515;87,132;22,472;21,751;22,054;-0,194;-0,225;-0,166
2548053;32;102,559;103,275;34,839;32,056;101,027;101,444;101,387;31,399;30,595;30,557;-0,102;-0,109;-0,112
2548068;40;90,231;90,554;26,484;25,303;89,298;89,717;89,444;24,436;24,776;24,687;-0,081;-0,06;-0,082
2548069;44;83,83;84,146;20,982;19,698;82,973;83,377;83,202;19,075;19,156;19,084;-0,095;-0,073;-0,092
2548076;18;88,543;89,641;28,502;24,734;86,714;87,009;87,788;24,172;22,302;22,78;-0,155;-0,21;-0,138
2549000;74;68,736;68,886;19,533;19,045;68,409;68,493;68,313;18,846;18,812;18,747;-0,037;-0,037;-0,056
2549001;76;70,918;70,798;14,912;15,895;71,746;71,601;71,164;16,411;16,21;15,971;0,115;0,092;0,045
2549003;74;69,699;69,661;17,439;18,08;70,5;70,457;69,895;18,916;18,474;18,155;0,096;0,08;0,025
2549004;57;67,406;67,789;23,096;21,248;66,486;66,319;66,399;21,053;20,026;20,069;-0,092;-0,133;-0,125
2549006;112;66,619;66,775;16,629;15,957;66,273;66,354;66,238;15,893;15,671;15,616;-0,047;-0,049;-0,064
2549017;51;69,165;69,386;13,845;13,017;68,77;68,869;68,759;12,99;12,639;12,588;-0,065;-0,074;-0,092
2549019;48;69,955;69,947;15,494;16,066;70,496;70,557;69,976;16,513;16,334;16,072;0,074;0,069;0,004
2549040;35;68,213;68,299;15,793;16,241;68,338;68,976;68,254;16,044;16,509;16,241;0,017;0,077;-0,007
2549042;27;58,214;58,337;16,89;17,367;59,202;59,435;58,192;18,667;17,901;17,349;0,121;0,115;-0,017
2549045;32;71,575;71,621;15,261;15,556;73,186;74,301;71,461;17,913;17,547;15,491;0,21;0,308;-0,021
2549047;41;62,704;62,77;23,305;23,692;63,274;63,01;62,402;24,402;23,81;23,579;0,052;0,018;-0,03
2549048;36;63,434;63,305;17,247;18,506;65,522;65,8;63,616;20,591;19,767;18,532;0,239;0,245;0,035
2549051;46;66,644;66,743;17,925;18,136;66,655;67,332;66,664;17,947;18,416;18,12;0,001;0,061;-0,009
