Estação;N;Gumbel;;;;Generalizada de Valores Extremos;;;;;;;;
;;csi;;alpha;;csi;;;alpha;;;kappa;;
;;MOM-L;ML;MOM-L;ML;MOM-L;ML;GEV;MOM-L;ML;GEV;MOM-L;ML;GEV
266003;19;78,21;78,987;23,106;19,644;76,124;76,623;77,257;17,769;17,424;17,709;-0,23;-0,23;-0,153
266004;29;94,497;94,811;19,988;19,299;93,516;94,615;94,231;17,757;19,209;19,15;-0,115;-0,019;-0,06
267001;25;88,417;89,31;26,353;20,58;84,793;84,85;86,394;15,053;14,684;15,45;-0,41;-0,475;-0,234
269001;21;90,595;90,977;18,811;18,472;91,001;91,718;90,497;19,598;18,9;18,343;0,046;0,074;-0,054
338000;78;83,141;83,532;24,044;21,806;81,82;81,563;81,772;20,995;20,081;20,18;-0,13;-0,174;-0,152
338001;95;83,679;83,876;26,764;26,136;83,452;83,64;83,301;26,294;25,982;25,813;-0,019;-0,017;-0,042
338002;73;72,24;72,37;15,359;14,958;72,26;72,24;71,979;15,401;14,871;14,728;0,003;-0,016;-0,05
338005;70;71,388;71,433;22,678;22,981;71,821;71,729;71,285;23,52;23,131;22,926;0,041;0,024;-0,012
338007;79;84,873;84,929;26,275;26,379;85,501;85,137;84,636;27,485;26,502;26,236;0,051;0,014;-0,021
338008;87;68,801;69,028;23,773;22,776;68,146;68,486;68,265;22,36;22,415;22,31;-0,063;-0,045;-0,065
338009;100;77,878;78,019;23,503;23,049;78,249;78,058;77,602;24,231;23,077;22,785;0,034;0,003;-0,035
338014;48;64,391;64,778;23,595;21,967;63,391;63,799;63,665;21,359;21,253;21,197;-0,098;-0,085;-0,098
338016;101;74,264;74,218;18,578;19,009;74,549;74,304;74,103;19,138;19,05;18,966;0,033;0,008;-0,011
338034;29;82,371;82,015;21,204;23,914;85,752;85,513;82,59;26,261;25,024;23,779;0,307;0,267;0,053
338037;22;90,175;89,976;18,085;20,4;93,415;95,042;90,29;22,766;22,453;20,268;0,341;0,46;0,035
338039;16;80,7;81,254;21,894;21,41;82,235;83,12;80,578;24,595;22,646;21,181;0,144;0,158;-0,065
338040;28;76,585;76,634;21,311;22,109;76,321;77,444;76,456;20,76;22,38;22,115;-0,028;0,068;-0,017
338043;16;55,771;56,935;27,997;23,13;53,025;52,299;54,609;20,789;18,039;19,768;-0,255;-0,425;-0,173
338048;33;91,402;92,186;29,108;25,164;89,171;87,454;89,454;23,638;20,188;21,648;-0,189;-0,387;-0,192
339000;39;55,93;56,359;22,706;21,148;55,127;55,5;55,304;20,942;20,515;20,424;-0,081;-0,077;-0,096
339004;61;56,198;56,494;19,262;17,873;55,614;55,377;55,395;17,994;16,942;16,953;-0,069;-0,12;-0,118
339014;93;50,232;49,924;15,52;17,672;51,74;51,851;51,096;18,042;18,093;17,594;0,195;0,204;0,134
339023;85;58,256;58,151;19,453;20,246;59,193;58,634;58,265;21,172;20,476;20,287;0,101;0,043;0,011
339025;25;66,326;66,739;24,569;23,439;65,639;66,15;65,719;23,086;23,082;22,941;-0,064;-0,046;-0,083
339028;91;54,84;55,063;20,945;19,8;53,842;54,324;54,233;18,684;19,331;19,306;-0,112;-0,07;-0,08
